Name,Hull Nr.,Class,Reactor,Nr. Reactor,reference
Bluefish, SSN 675, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Billfish, SSN 676, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Drum, SSN 677, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Archerfish, SSN 678, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Silversides, SSN 679, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
William H. Bates, SSN 680, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Batfish, SSN 681, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Tunny, SSN 682, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Parche, SSN 683, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Cavalla, SSN 684, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
L. Mendel Rivers, SSN 686, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Richard B. Russell, SSN 687, 637, S5W, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Narwhal, SSN 671, 671, S5G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2 
Glenard P. Lipscomb, SSN 685, 685, S5W, 1, https://en.wikipedia.org/wiki/USS_Glenard_P._Lipscomb
Los Angeles, SSN 688, 688,  S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Baton Rouge, SSN 689, 688,S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Philadelphia, SSN 690, 688,S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Memphis, SSN 691, 688, S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
Omaha, SSN 692, 688,S6G, 1, https://www.jstor.org/stable/resrep14271.18?seq=2
